word,filename
a lot,A LOT (1).jpg
abuse,ABUSE (1).jpg
afraid,AFRAID (1).jpg
agree,AGREE (1).jpg
all,ALL (1).jpg
angry,ANGRY (1).jpg
anything,ANYTHING (1).jpg
appreciate,APPRECIATE (1).jpg
bad,BAD (1).jpg
beautiful,BEAUTIFUL (1).jpg
become,BECOME (1).jpg
bed,BED (1).jpg
bored,BORED (1).jpg
bring,BRING-1.jpg
chat,CHAT.jpg
class,CLASS (1).jpg
cold,COLD (1).jpg
college,COLLEGE OR SCHOOL (1).jpg
school,COLLEGE OR SCHOOL (1).jpg
comb,COMB (1).jpg
come,COME (1).jpg
congratulations,CONGRATULATIONS (1).jpg
crying,CRYING (1).jpg
dare,DARE (1).jpg
difference,DIFFERENCE (1).jpg
dilemma,DILEMMA (1).jpg
disappointed,DISAPPOINTED (1).jpg
do,DO-1.jpg
enjoy,ENJOY (2).jpg
favour,FAVOUR (1).jpg
fever,FEVER (1).jpg
fine,FINE (1).jpg
food,FOOD (1).jpg
free,FREE (1).jpg
friend,FRIEND (1).jpg
from,FROM-1.jpg
go,GO (1).jpg
good,GOOD (1).jpg
grateful,GRATEFUL (1).jpg
had,HAD (1).jpg
happened,HAPPENED (1).jpg
happy,HAPPY (1).jpg
hear,HEAR (1).jpg
heart,HEART (1).jpg
hello,HELLO HI-1.jpg
hi,HELLO HI-1.jpg
help,HELP (1).jpg
hiding,HIDING (1).jpg
how,HOW (1).jpg
hungry,HUNGRY-1.jpg
hurt,HURT (1).jpg
i,I (1).jpg
me,ME (1).jpg
my,MY-1.jpg
kind,KIND (1).jpg
leave,LEAVE (1).jpg
like,LIKE (1).jpg
love,love or like (1).jpg
mean,MEAN (1).jpg
medicine,MEDICINE (1).jpg
meet,MEET-1.jpg
name,NAME-1.jpg
nice,NICE (1).jpg
not,NOT (1).jpg
number,NUMBER (1).jpg
old,OLD (1).jpg
age,AGE (1).jpg
outside,OUTSIDE (1).jpg
phone,PHONE-1.jpg
place,THIS PLACE (1).jpg
please,PLEASE-1.jpg
pour,POUR (1).jpg
prepare,PREPARE (1).jpg
promise,PROMISE (1).jpg
really,REALLY (1).jpg
repeat,REPEAT-1.jpg
room,ROOM (1).jpg
serve,SERVE (1).jpg
shirt,SHIRT (1).jpg
sitting,SITTING (1).jpg
sleep,SLEEP (1).jpg
slower,SLOWER-1.jpg
softly,SOFTLY (1).jpg
somehow,SOMEHOW (1).jpg
someone,SOMEONE (1).jpg
something,SOMETHING (1).jpg
sorry,SORRY (1).jpg
speak,SPEAK (1).jpg
stop,STOP (1).jpg
stubborn,STUBBORN (1).jpg
sure,SURE (1).jpg
talk,TALK-1.jpg
tell,TELL (1).jpg
thank,THANK (2).jpg
that,THAT (1).jpg
things,THINGS (1).jpg
think,THINK-1.jpg
thirsty,THIRSTY-1.jpg
tired,TIRED (1).jpg
today,TODAY (1).jpg
train,TRAIN (2).jpg
trust,TRUST (1).jpg
truth,TRUTH (1).jpg
understand,UNDERSTAND (1).jpg
want,want-1.jpg
water,WATER (1).jpg
wear,WEAR (1).jpg
welcome,WELCOME (1).jpg
what,WHAT (1).jpg
where,WHERE-1.jpg
who,WHO-1.jpg
worry,WORRY (1).jpg
you,YOU (1).jpg
your,YOUR (1).jpg
